"Media ID","Title","Sort title","Studio","Content Rating","Year","Rating","Summary","Genres","View Count","Last Viewed at","Tagline","Release Date","Writers","Country","Duration","Directors","Roles","IMDB Id","Labels","Locked Fields","Extras","Collections","Original Title","Added","Updated","Audio Languages","Audio Title","Subtitle Languages","Subtitle Title","Subtitle Codec","Video Resolution","Bitrate","Width","Height","Aspect Ratio","Audio Channels","Audio Codec","Video Codec","Container","Video FrameRate"
"2608","28 Weeks Later","N/A","DNA Films","R","2007","6.3","In this chilling sequel to 28 Days
Later, the inhabitants of the British
Isles appear to have lost their battle
against the onslaught of disease, as the
deadly rage virus has killed every
citizen there. Six months later, a group
of Americans dare to set foot on the
isles, convinced the danger has come and
gone. But it soon becomes all too clear
that the scourge continues to live,
waiting to pounce on its next victims.","Horror - Thriller - Science Fiction","N/A","N/A","When days turn to weeks... the horror
returns.","2007-05-11","Rowan Joffe - Juan Carlos Fresnadillo -
Jesús Olmo - Enrique López Lavigne","Spain - United Kingdom","1:36:50","Juan Carlos Fresnadillo","Imogen Poots - Robert Carlyle - Rose
Byrne - Jeremy Renner - Harold Perrineau
- Catherine McCormack - Idris Elba -
Mackintosh Muggleton - Amanda Walker -
Shahid Ahmed - Garfield Morgan - Emily
Beecham - Beans El-Balawi - Meghan
Popiel - Stewart Alexander - Philip
Bulcock - Chris Ryman - Tristan Tait -
William Meredith - Matt Reeves - Thomas
Garvey - Tom Bodell - Andrew Byron -
Sarah Finigan - Roderic Culver - Maeve
Malley-Ryan - Ed Coleman - Karen Meagher
- Amanda Lawrence - Simon Delaney - Drew
Rhys-Williams - Raymond Waring - Kish
Sharma - Jane Thorne - Dean Alexandrou -
Didier Dell Benjamin - Gareth Clarke -
James Fiddy - Tommy Gunn - Daniel
Jefferson - Debbie Kurup - Selina Lo -
João Costa Menezes - Jane Osborn - Jude
Poyer - Joseph Ripley","tt0463854","","","1","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","sd","1012","668","352","1.85","2","mp3","mpeg4","avi","PAL"
"350","3 Days to Kill","N/A","Wonderland Sound and Vision","PG-13","2014","6.1","A dangerous international spy is
determined to give up his high stakes
life to finally build a closer
relationship with his estranged wife and
daughter. But first, he must complete
one last mission - even if it means
juggling the two toughest assignments
yet: hunting down the world's most
ruthless terrorist and looking after his
teenage daughter for the first time in
ten years, while his wife is out of
town.","Action - Crime - Drama - Thriller","N/A","N/A","The question is, kill or die?","2014-02-14","Adi Hasak - Luc Besson","France - Greece - Russia - USA","2:02:18","McG","Kevin Costner - Amber Heard - Hailee
Steinfeld - Connie Nielsen - Richard
Sammel - Tómas Lemarquis - Eriq Ebouaney
- Big John - Bruno Ricci - Jonas Bloquet
- Marc Andréoni - Alison Valence","tt2172934","","","0","","N/A","05/23/2015","02/26/2016","eng","DTS 5.1","eng - bul - chi","SDH - N/A - N/A","srt - srt - srt","720","6748","1280","542","2.35","6","dca","h264","mkv","24p"
"2607","30 Minutes or Less","N/A","Columbia Pictures","R","2011","5.4","Two fledgling criminals kidnap a pizza
delivery guy, strap a bomb to his chest,
and advise him that he has mere hours to
rob a bank or else...","Action - Comedy - Adventure","N/A","N/A","A lot can happen in 30 minutes.","2011-08-12","Michael Diliberti","USA - Germany - Canada","1:23:02","Ruben Fleischer","Jesse Eisenberg - Danny McBride - Aziz
Ansari - Bianca Kajlich - Nick Swardson
- Michael Peña - Fred Ward - Dilshad
Vadsaria - Brett Gelman","tt1622547","","","1","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","sd","1040","704","384","1.85","2","mp3","mpeg4","avi","24p"
"2632","300","N/A","Virtual Studios","R","2007","6.9","Based on Frank Miller's graphic novel,
""300"" is very loosely based the 480 B.C.
Battle of Thermopylae, where the King of
Sparta led his army against the
advancing Persians; the battle is said
to have inspired all of Greece to band
together against the Persians, and
helped usher in the world's first
democracy.","Action - Adventure - War","N/A","N/A","Spartans, prepare for glory!","2007-03-09","Zack Snyder - Kurt Johnstad - Michael B.
Gordon","USA","1:51:49","Zack Snyder","Gerard Butler - Lena Headey - Dominic
West - David Wenham - Vincent Regan -
Michael Fassbender - Tom Wisdom - Andrew
Tiernan - Andrew Pleavin - Rodrigo
Santoro - Giovani Cimmino - Tyler
Neitzel - Greg Kramer - Stephen McHattie
- Alex Ivanovici - Kelly Craig - Eli
Snyder - Tim Connolly - Marie-Julie
Rivest - Sebastian St. Germain - Peter
Mensah - Arthur Holden - Michael
Sinelnikoff - John Dunn-Hill - Dennis St
John - Neil Napier - Dylan Smith -
Maurizio Terrazzano - Robert Paradis -
Kwasi Songui - Alexandra Beaton -
Frédéric Smith - Loucas Minchillo -
Nicholas Minchillo - Tom Rack - Tom Rack
- David Francis - James Bradford -
Andrew Shaver - Kent McQuaid - Marcel
Jeannin - Jere Gillis - Jeremy Thibodeau
- Tyrone Benskin - Robert Maillet -
Patrick Sabongui - Leon Laderach - Dave
Lapommeray - Vervi Mauricio - Charles
Papasoff - Isabelle Champeau -
Veronique-Natale Szalankiewicz - Maéva
Nadon - David Thibodeau - David Schaap -
Jean Michel Paré - Stewart Myiow -
Andreanne Ross - Sara Giacalone -
Ariadne Bourbonnière - Isabelle Fournel
- Sandrine Merette-Attiow - Elisabeth
Etienne - Danielle Hubbard - Ruan
Vibegaard - Genevieve Guilbault - Bonnie
Mak - Amélie Sorel - Caroline Aspirot -
Gina Gagnon - Tania Trudell - Stéphanie
Aubry - Mercedes Leggett - Stephania
Gambaroff - Chanelle Lamothe - Sabrina-
Jasmine Guilbault - Manny Cortez Tuazon
- Atif Y. Siddiqi - Camille Rizkallah -
Trudi Hanley - Neon Cobran - Gary A.
Hecker - Devin Delorme - Deke Richards -
Darren Shahlavi - Marc Trottier - Duy Vo
Van - Agnieshka Wnorowska","tt0416449","","","1","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","576","1342","720","576","1.78","2","mp3","mpeg4","avi","PAL"
"2610","300: Rise of an Empire","N/A","Legendary Pictures","R","2014","6.2","Based on Frank Miller's latest graphic
novel Xerxes and told in the
breathtaking visual style of the
blockbuster ""300,"" this new chapter of
the epic saga takes the action to a
fresh battlefield--on the sea--as Greek
general Themistokles attempts to unite
all of Greece by leading the charge that
will change the course of the war. ""300:
Rise of an Empire"" pits Themistokles
against the massive invading Persian
forces led by mortal-turned-god Xerxes
and Artemesia, the vengeful commander of
the Persian navy.","Action - War","N/A","N/A","Seize your glory!","2014-03-07","Zack Snyder - Kurt Johnstad","USA","1:42:36","Noam Murro","Sullivan Stapleton - Eva Green - Lena
Headey - Callan Mulvey - David Wenham -
Rodrigo Santoro - Jack O'Connell -
Andrew Tiernan - Ashraf Barhom - Andrew
Pleavin - Hans Matheson - Peter Mensah -
Ben Turner - Christopher Boyer - Fred
Ochs - Price Carson - John Michael
Herndon - David Pevsner - Peter
Ferdinando - Igal Naor","tt1253863","","","16","","N/A","09/20/2015","09/22/2015","eng","N/A","","","","1080","2289","1920","800","2.35","2","aac","h264","mp4","24p"
"2158","The 40 Year Old Virgin","40 Year Old Virgin","Universal Pictures","R","2005","6.1","Andy Stitzer has a pleasant life with a
nice apartment and a job stamping
invoices at an electronics store. But at
age 40, there's one thing Andy hasn't
done, and it's really bothering his sex-
obsessed male co-workers: Andy is still
a virgin. Determined to help Andy get
laid, the guys make it their mission to
de-virginize him. But it all seems
hopeless until Andy meets small business
owner Trish, a single mom.","Comedy - Romance","N/A","N/A","The longer you wait, the harder it gets.","2005-08-11","Judd Apatow - Steve Carell","USA","2:12:27","Judd Apatow","Steve Carell - Catherine Keener - Paul
Rudd - Romany Malco - Seth Rogen - Jane
Lynch - Leslie Mann - Elizabeth Banks -
Stormy Daniels - Kat Dennings - Jonah
Hill - Mindy Kaling","tt0405422","","","1","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","sd","742","640","352","1.85","6","aac","h264","mp4","24p"
"2634","47 Ronin","N/A","Mid Atlantic Films","PG-13","2013","5.9","Based on the original 1941 movie from
Japan, and from ancient Japan’s most
enduring tale, the epic 3D fantasy-
adventure 47 Ronin is born.  Keanu
Reeves leads the cast as Kai, an outcast
who joins Oishi (Hiroyuki Sanada), the
leader of the 47 outcast samurai.
Together they seek vengeance upon the
treacherous overlord who killed their
master and banished their kind.  To
restore honor to their homeland, the
warriors embark upon a quest that
challenges them with a series of trials
that would destroy ordinary warriors.","Action - Adventure - Fantasy","N/A","N/A","For courage. For loyalty. For honour.","2013-12-25","Chris Morgan - Hossein Amini","USA","1:58:43","Carl Rinsch","Keanu Reeves - Hiroyuki Sanada - Kou
Shibasaki - Tadanobu Asano - Min Tanaka
- Rinko Kikuchi - Jin Akanishi -
Masayoshi Haneda - Hiroshi Sogabe -
Takato Yonemoto - Shû Nakajima - Hiroshi
Yamada - Cary-Hiroyuki Tagawa - Tanroh
Ishida - Yorick van Wageningen - Ron
Bottitta","tt1335975","","","9","","N/A","09/20/2015","09/22/2015","eng - eng","N/A - N/A","N/A","N/A","srt","1080","2654","1920","800","2.35","6","aac","h264","mp4","24p"
"2643","(500) Days of Summer","500) Days of Summer","Fox Searchlight Pictures","PG-13","2009","7.3","Tom (Joseph Gordon-Levitt), greeting-
card writer and hopeless romantic, is
caught completely off-guard when his
girlfriend, Summer (Zooey Deschanel),
suddenly dumps him. He reflects on their
500 days together to try to figure out
where their love affair went sour, and
in doing so, Tom rediscovers his true
passions in life.","Comedy - Drama - Romance","N/A","N/A","It was almost like falling in love.","2009-07-17","Scott Neustadter - Michael H. Weber","USA","1:35:04","Marc Webb","Joseph Gordon-Levitt - Zooey Deschanel -
Chloë Grace Moretz - Geoffrey Arend -
Matthew Gray Gubler - Clark Gregg -
Alejandro Estornel - Patricia Belcher -
Rachel Boston - Minka Kelly - Ian Reed
Kesler - Valente Rodriguez - Yvette
Nicole Brown - Nicole Vicius","tt1022603","","","2","","N/A","09/20/2015","09/22/2015","N/A","N/A","N/A","N/A","srt","sd","1023","640","272","2.35","2","mp3","mpeg4","avi","24p"
"2638","9","N/A","Focus Films","PG-13","2009","6.5","When 9 first comes to life, he finds
himself in a post-apocalyptic world. All
humans are gone, and it is only by
chance that he discovers a small
community of others like him taking
refuge from fearsome machines that roam
the earth intent on their extinction.
Despite being the neophyte of the group,
9 convinces the others that hiding will
do them no good.","Fantasy - Animation - Science Fiction -
Action - Adventure - Drama - Mystery -
Thriller","N/A","N/A","When our world ended their mission
began.","2009-09-09","Shane Acker - Pamela Pettler","USA","1:19:14","Shane Acker","Elijah Wood - John C. Reilly - Jennifer
Connelly - Christopher Plummer - Crispin
Glover - Martin Landau - Fred Tatasciore
- Alan Oppenheimer - Tom Kane - Helen
Wilson","tt0472033","","","3","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","sd","1340","640","368","1.78","2","mp3","mpeg4","avi","24p"
"2166","The A-Team","A-Team","Ingenious Film Partners","PG-13","2010","6.2","A group of Iraq War veterans goes on the
run from U.S. military forces while they
try to clear their names after being
framed for a crime they didn't commit.
Along the way, Col. Hannibal Smith,
Capt. H.M. ""Howling Mad"" Murdock , Sgt.
Bosco ""B.A."" Baracus, and Lt. Templeton
""Faceman"" Peck help out various people
they encounter.","Thriller - Action - Adventure - Comedy -
Crime","N/A","N/A","There Is No Plan B","2010-06-11","Michael Brandt - Derek Haas - Skip Woods","USA","1:53:50","Joe Carnahan","Liam Neeson - Bradley Cooper - Jessica
Biel - Sharlto Copley - Patrick Wilson -
Quinton Jackson - Gerald McRaney - Brian
Bloom - Omari Hardwick - Maury Sterling
- Terry Chen - C. Ernst Harth - Raj Lal
- Neil Schell - Gardiner Millar - Marc-
Anthony Massiah - Rafael Pellerin - Yul
Vazquez - Henry Czerny - Jacob Blair -
Jon Hamm","tt0429493","","","1","","N/A","09/20/2015","09/22/2015","N/A","N/A","","","","sd","2039","720","304","2.35","6","ac3","mpeg4","avi","PAL"
"2601","Abduction","N/A","Lions Gate Films","PG-13","2011","5.4","A thriller centered on a young man who
sets out to uncover the truth about his
life after finding his baby photo on a
missing persons website.","Thriller - Action - Mystery","N/A","N/A","They stole his life. He's taking it
back.","2011-09-23","Shawn Christensen","USA","1:45:58","John Singleton","Taylor Lautner - Lily Collins - Alfred
Molina - Jason Isaacs - Maria Bello -
Michael Nyqvist - Sigourney Weaver -
Antonique Smith - Denzel Whitaker - Jake
Andolina - Oriah Acima Andrews - Ken
Arnold - Steve Blass - Derek Burnell -
Benjamin J. Cain Jr. - Holly Scott
Cavanaugh - Radick Cembrzynski - Richard
Cetrone","tt1600195","","","2","","N/A","09/20/2015","09/22/2015","N/A","VTS_01_1 T80 3_2ch 448Kbps DELAY 0ms_new","","","","sd","1889","720","304","2.35","6","ac3","mpeg4","avi","24p"
"2599","About Cherry","N/A","Gordon Bijelonic / Datari Turner Films","R","2012","4.4","A drama centered on a troubled young
woman who moves to San Francisco, where
she gets involved in pornography and
aligns herself with a cocaine-addicted
lawyer.","Drama","N/A","N/A","There's No Such Thing As Going Too Far.","2012-09-21","Lorelei Lee - Stephen Elliott","USA","1:42:11","Stephen Elliott","Ashley Hinshaw - James Franco - Heather
Graham - Dev Patel - Lili Taylor - Diane
Farr - Jonny Weston","tt1945062","","","1","","Cherry","09/20/2015","09/22/2015","eng","N/A","N/A","N/A","srt","1080","2291","1920","1080","1.78","2","aac","h264","mp4","24p"
"2594","Abraham Lincoln: Vampire Hunter","N/A","Dune Entertainment","R","2012","3.5","","Horror - Action Film - Thriller","N/A","N/A","President by day. Hunter by night.","2012-06-18","Simon Kinberg - Seth Grahame-Smith","USA","0:52:16","Timur Bekmambetov","Kristin Daniel - Juliet Reeves - Gustavo
I. Ortiz - Erin Mallory - Dominic Cooper
- Christopher Severio - Russell M.
Haeuser - Donna DuPlantier - Daniel
Vincent - John C. Martin - Jay Oliver -
John L. Armijo - Aaron Toney - Brittany
Soileau - David A Cole - Lawrence Turner
- Richie J. Ladner - Sean Glazebrook -
Bill Martin Williams - Cynthia LeBlanc -
Christopher Fontenot - Kevin Waterman -
Stephen Livaudais - Aaron Thacker-
Woodruff - Bernard Hocke - Carl J.
Walker - James Ricker II - Erin Wasson -
Jake La Botz - Mark C. Stevens - Simeon
Sjöberg - Stephen Daniel Wayne - John L.
Armijo - Seth Grahame-Smith - Scott
Michael Jefferson - Michael Madary -
Olga Wilhelmine - Brent Henry - Rex
Harsin - Laura B. Manning - John Rothman
- Rebecca Collins - Gene Kevin Hames Jr.
- Lorna Street Dopson - Steve Rally -
Brian Paul Falgoust - Pierre Pichon -
Frank Brennan - Sean Keehan - Lux Haney-
Jardine - Ken Massey - Kelly Hasandras -
Ritchie Montgomery - Jenny Slaydon -
Timothy Pickles - Robin McLeavy - Lauren
Hammond - Laura Cayouette - Dane Rhodes
- Rachel G. Whittle - Jennifer Schemke -
Taylor Newman - Natalie Nicole - James
Rawlings - Jakel Marshall - Christopher
Fontenot - Benjamin Walker - Anthony
Mackie - Johnny Otto - Michael Patrick
Rogers - Vatican Lokey - Maya M.
Marshall - Meade Patton - John McConnell
- Cynthia LeBlanc - Joseph Mawle - Earl
Maddox - Cameron M. Brown - Jeremy
Spring - Mike Agresta - Andrew Serpas -
Teri Wyble - Chelsea Bruland - Mallory
Thompson - Bradley Randall - Jillian
Batherson - Don Lee - Travis Wade Locke
- Elton LeBlanc - Alan Tudyk - Tara
Francis - Jaqueline Fleming - Rianne
Herron - Tom Bubrig - Hollie Doker -
Edward R. Cox - Mary Elizabeth Winstead
- Alex Lombard - Alex Bulat - John C.
Klein - Chaz Smith - Nathaniel Holt -
Raevin Stinson - John Neisler - Francis
Scully - Kyle Kahn - Terry Lee Smith -
Jared DePasquale - Rufus Sewell - Edward
J. Clare - Edrick Browne - Elton LeBlanc
- Jimmi Simpson - Elsie Semmes - Logan
Douglas Smith - Casey Bundick - Curtis
Harris - Marton Csokas","tt1611224","","","7","","N/A","09/20/2015","09/21/2015","N/A - N/A","N/A - N/A","fre - fre - eng - eng - spa - spa - spa
- spa - fre - fre - eng - eng - spa -
spa - spa - spa","N/A - N/A - N/A - N/A - N/A - N/A - N/A
- N/A - N/A - N/A - N/A - N/A - N/A -
N/A - N/A - N/A","idx - idx - idx - idx - idx - idx - idx
- idx - idx - idx - idx - idx - idx -
idx - idx - idx","sd - sd","1866 - 1847","640 - 640","272 - 272","2.35 - 2.35","6 - 6","ac3 - ac3","mpeg4 - mpeg4","avi - avi","24p - 24p"
